Batch ,Measurement date,d.a.i,Tree Code,GS before injectoin,Cultivar ,Status,Leaf #,1 h,24 h
6,5/7/2022,7,JR20,0.106,Pineapple,HLB+,3,49768.55,42789.87
6,5/7/2022,7,JR21,0.025,Pineapple,HLB+,3,49168.36,43789.39
6,5/7/2022,7,JR29,0.03,Sugar Belle ®,HLB+,3,763.11,1507.18
7,5/5/2022,2,JR04,0.155,Pineapple,Healthy,3,981653.7,284254.9
7,5/5/2022,2,JR07,0.248,Sugar Belle ®,Healthy,4,127497.6,45756.92
7,5/5/2022,2,JR11,0.339,Sugar Belle ®,HLB+,3,240999.8,124657.1
7,5/5/2022,2,JR12,0.089,Pineapple,HLB+,3,477480.9,183816.9
7,5/5/2022,2,JR15,0.145,Pineapple,HLB+,3,735445.1,399405.3
7,5/5/2022,2,JR16,0.688,Sugar Belle ®,HLB+,3,758711.7,300535.5
7,5/6/2022,3,JR04,0.155,Pineapple,Healthy,3,998806.9,285753.5
7,5/6/2022,3,JR07,0.248,Sugar Belle ®,Healthy,4,129850.8,46818.9
7,5/6/2022,3,JR11,0.339,Sugar Belle ®,HLB+,3,247281.1,119834.6
7,5/6/2022,3,JR12,0.089,Pineapple,HLB+,3,503373.4,183564.5
7,5/6/2022,3,JR15,0.145,Pineapple,HLB+,3,766572,405809.8
7,5/6/2022,3,JR16,0.688,Sugar Belle ®,HLB+,3,784826.8,308086.4
7,5/7/2022,4,JR04,0.155,Pineapple,Healthy,3,996197,290770.3
7,5/7/2022,4,JR07,0.248,Sugar Belle ®,Healthy,4,129649,47180.97
7,5/7/2022,4,JR11,0.339,Sugar Belle ®,HLB+,3,247027.9,121687.4
7,5/7/2022,4,JR12,0.089,Pineapple,HLB+,3,496299.1,188192.7
7,5/7/2022,4,JR15,0.145,Pineapple,HLB+,3,759338.2,415063.4
7,5/7/2022,4,JR16,0.688,Sugar Belle ®,HLB+,3,811532.5,312909.3
7,5/8/2022,5,JR04,0.155,Pineapple,Healthy,3,1019002,296345.4
7,5/8/2022,5,JR07,0.248,Sugar Belle ®,Healthy,4,131024.9,48018.66
7,5/8/2022,5,JR11,0.339,Sugar Belle ®,HLB+,3,249608.5,125018.8
7,5/8/2022,5,JR12,0.089,Pineapple,HLB+,3,501894,191601
7,5/8/2022,5,JR15,0.145,Pineapple,HLB+,3,785574.8,426241
7,5/8/2022,5,JR16,0.688,Sugar Belle ®,HLB+,3,827457.4,305957.5
8,5/7/2022,2,JR03,0.023,Pineapple,Healthy,3,227580.2,104040.7
8,5/7/2022,2,JR09,0.026,Sugar Belle ®,Healthy,3,873668.5,426200.8
8,5/7/2022,2,JR14,0.098,Pineapple,HLB+,3,1349778,424353.3
8,5/7/2022,2,JR24,0.037,Pineapple,HLB+,3,236174.6,152354.6
8,5/7/2022,2,JR28,0.31,Sugar Belle ®,HLB+,3,509315.2,287819.6
8,5/7/2022,2,JR30,0.083,Sugar Belle ®,HLB+,3,711030.9,377927
8,5/8/2022,3,JR03,0.023,Pineapple,Healthy,3,228551.4,110289.3
8,5/8/2022,3,JR09,0.026,Sugar Belle ®,Healthy,3,887141.1,433013.6
8,5/8/2022,3,JR14,0.098,Pineapple,HLB+,3,1373803,427084.1
8,5/8/2022,3,JR24,0.037,Pineapple,HLB+,3,239258.1,159852.2
8,5/8/2022,3,JR28,0.31,Sugar Belle ®,HLB+,3,506850.2,295222.6
8,5/8/2022,3,JR30,0.083,Sugar Belle ®,HLB+,3,734925.2,399403.7
8,5/9/2022,4,JR03,0.023,Pineapple,Healthy,3,240558.3,111857.8
8,5/9/2022,4,JR09,0.026,Sugar Belle ®,Healthy,3,895235.1,439891.8
8,5/9/2022,4,JR14,0.098,Pineapple,HLB+,3,1405099,435222.9
8,5/9/2022,4,JR24,0.037,Pineapple,HLB+,3,246413,161460.5
8,5/9/2022,4,JR28,0.31,Sugar Belle ®,HLB+,3,510184.7,298315.8
8,5/9/2022,4,JR30,0.083,Sugar Belle ®,HLB+,3,754664.3,395800.8
8,5/11/2022,6,JR03,0.023,Pineapple,Healthy,3,249801.2,118337.8
8,5/11/2022,6,JR09,0.026,Sugar Belle ®,Healthy,3,899651.1,446760.6
8,5/11/2022,6,JR14,0.098,Pineapple,HLB+,3,1419081,452982.5
8,5/11/2022,6,JR24,0.037,Pineapple,HLB+,3,250342.5,163048.8
8,5/11/2022,6,JR28,0.31,Sugar Belle ®,HLB+,3,517748.5,306460.5
8,5/11/2022,6,JR30,0.083,Sugar Belle ®,HLB+,3,752511,400342.4
8,5/12/2022,7,JR03,0.023,Pineapple,Healthy,3,250002.1,117887.1
8,5/12/2022,7,JR09,0.026,Sugar Belle ®,Healthy,3,913445.2,461449.1
8,5/12/2022,7,JR14,0.098,Pineapple,HLB+,3,1440390,454351.8
8,5/12/2022,7,JR24,0.037,Pineapple,HLB+,3,253957,168348.2
8,5/12/2022,7,JR28,0.31,Sugar Belle ®,HLB+,3,532509.2,307741
