Tree Code,Branch date,total length,width base,with middle,Width tip,Length base - middle,N Leaves,length middle - tip,Observations
JR49,44681,NA,NA,NA,NA,NA,NA,NA,NA
JR49,44681,NA,NA,NA,NA,NA,NA,NA,NA
JR49,44757,25.4,4,2.9,2.2,15.2,10,10.2,NA
JR49,44757,11,2,1.1,1,4,4,7,NA
JR49,44757,19.4,2.8,1.8,1.1,11.5,8,7.9,NA
JR49,44761,5,1.1,0.9,0.9,2,4,3,NA
JR50,44470,NA,NA,NA,NA,NA,NA,NA,NA
JR50,44638,NA,NA,NA,NA,NA,NA,NA,NA
JR50,44638,NA,NA,NA,NA,NA,NA,NA,NA
JR50,44638,NA,NA,NA,NA,NA,NA,NA,NA
JR50,44701,27.3,4,3.2,2,16,7,11.3,NA
JR50,44701,28.6,5,4,3,17.1,7,11.5,NA
JR50,44757,16.4,2.1,2.3,1,8,7,8.4,NA
JR50,44757,10.4,2.5,2.5,1.3,5,5,5.4,NA
JR50,44757,15.1,2.1,2.6,1.3,9,8,6.1,NA
JR50,44757,15,2.9,2,1.7,7.2,8,7.8,NA
JR50,44757,5,1.3,1.1,1,2.5,2,2.5,NA
JR50,44757,17.1,2.3,1.9,2,8.4,7,8.7,NA
JR50,44645,NA,NA,NA,NA,NA,NA,NA,NA
JR50,44645,NA,NA,NA,NA,NA,NA,NA,NA
JR50,44757,7,1.3,1.3,0.9,3.5,2,3.5,NA
JR50,44757,4.4,1.2,1,0.9,2,3,2.4,NA
